SYMBOL	gs_name
IGHV3OR16-9	G2_plasma
TNFRSF17	G2_plasma
IGLV3-1	G2_plasma
HID1	G2_plasma
IGHG4	G2_plasma
IGHV3-48	G2_plasma
IGHA2	G2_plasma
IGHV3-7	G2_plasma
IGKV3OR2-268	G2_plasma
IGHV3-11	G2_plasma
IGHG2	G2_plasma
IGHA1	G2_plasma
IGHG3	G2_plasma
DERL3	G2_plasma
IGLC1	G2_plasma
IGKV4-1	G2_plasma
IGKV3D-15	G2_plasma
IGLC7	G2_plasma
IGLL5	G2_plasma
IGHV3-21	G2_plasma
IGKV3-11	G2_plasma
IGHV1-69	G2_plasma
IGJ	G2_plasma
IGHG1	G2_plasma
IGHV3-23	G2_plasma
TXNDC5	G2_plasma
PYCR1	G2_plasma
FCRL5	G2_plasma
SPAG4	G2_plasma
IGKV1D-39	G2_plasma
IGKV3-20	G2_plasma
IGLC2	G2_plasma
TRAM2	G2_plasma
CPNE5	G2_plasma
MZB1	G2_plasma
PNOC	G2_plasma
GAB1	G2_plasma
IGHV3-30	G2_plasma
IGLC3	G2_plasma
P2RX1	G2_plasma
COBLL1	G2_plasma
IGKC	G2_plasma
HIST1H2BG	G2_plasma
SPATS2	G2_plasma
CHPF	G2_plasma
POU2AF1	G2_plasma
PRDX4	G2_plasma
SLC17A9	G2_plasma
FKBP11	G2_plasma
MANEA	G2_plasma
EAF2	G2_plasma
TRIB1	G2_plasma
CLIC4	G2_plasma
CD79A	G2_plasma
GSTM2	G2_plasma
PDK1	G2_plasma
XBP1	G2_plasma
CRELD2	G2_plasma
ANKRD28	G2_plasma
BLNK	G2_plasma
HIST1H2BC	G2_plasma
SELM	G2_plasma
MCEE	G2_plasma
MANF	G2_plasma
ITM2C	G2_plasma
RRBP1	G2_plasma
RAB30	G2_plasma
MEI1	G2_plasma
CASP10	G2_plasma
CLPTM1L	G2_plasma
GMPPB	G2_plasma
FKBP2	G2_plasma
SLC38A5	G2_plasma
PPAPDC1B	G2_plasma
SDF2L1	G2_plasma
ST6GALNAC4	G2_plasma
TXNDC11	G2_plasma
FNDC3B	G2_plasma
C11orf24	G2_plasma
SIL1	G2_plasma
BSCL2	G2_plasma
TPD52	G2_plasma
FBXO18	G2_plasma
SEC24D	G2_plasma
MAGED1	G2_plasma
PLCG2	G2_plasma
HSPA13	G2_plasma
HIST1H2BD	G2_plasma
SYVN1	G2_plasma
SEC11C	G2_plasma
CPEB4	G2_plasma
SEC24A	G2_plasma
UBE2J1	G2_plasma
EIF2AK4	G2_plasma
TMEM214	G2_plasma
TCF4	G2_plasma
SEL1L	G2_plasma
WIPI1	G2_plasma
TXNDC15	G2_plasma
MEF2C	G2_plasma
VIMP	G2_plasma
TMEM208	G2_plasma
HIST1H1C	G2_plasma
CLCC1	G2_plasma
AQP3	G2_plasma
ALG5	G2_plasma
UAP1	G2_plasma
TMEM19	G2_plasma
ZBP1	G2_plasma
LMAN1	G2_plasma
KDELR1	G2_plasma
TOR3A	G2_plasma
ARSA	G2_plasma
CCPG1	G2_plasma
TMEM205	G2_plasma
CHID1	G2_plasma
SRPRB	G2_plasma
